m/z;I
728.33238;436627
868.46376;226712
894.47981;212784
898.47483;1028156
957.43873;172725
996.47491;269221
1010.50223;570537
1013.50231;245852
1032.54786;489358
1080.50755;270480
1088.59662;238413
1095.5662;374577
1105.57566;1965455
1105.62313;587786
1107.51813;238206
1110.55524;167226
1121.61828;308185
1128.51069;161657
1138.56002;582224
1167.57631;1179216
1183.57123;1421521
1193.5189;390305
1193.62781;457796
1196.56654;249645
1203.62324;236761
1207.60724;244105
1216.59289;165676
1216.67991;278180
1241.66022;712866
1249.59238;338093
1250.57704;173848
1254.53528;267996
1259.64907;222046
1267.67575;626934
1272.59773;183659
1273.70274;319109
1280.62412;516144
1301.62444;271012
1323.66622;403699
1335.63044;598318
1353.18971;267244
1374.74978;511646
1386.77378;212054
1392.68733;436726
1409.72205;208842
1416.68681;460237
1417.7299;462900
1427.72862;7416144
1435.68284;2083995
1459.69387;1895227
1472.7873;214468
1473.67284;885579
1483.71495;656548
1492.66788;166717
1496.75397;294516
1561.79938;3154506
1562.78293;3383965
1562.83025;1352246
1572.75293;163249
1580.76831;1202938
1589.77808;625175
1596.79968;275350
1604.81446;361542
1615.82102;1692397
1616.80497;977746
1637.72448;867062
1648.82945;770332
1668.90691;169403
1674.89584;175571
1699.88931;200814
1706.77378;834626
1707.79325;175215
1716.9158;1051262
1726.8663;1198943
1735.80019;292584
1743.72524;222429
1758.75731;186236
1762.90914;274658
1774.80074;199506
1783.80278;1168073
1786.92138;302909
1787.90486;1181984
1791.82756;456754
1799.79818;842953
1804.93139;10374898
1816.86608;1500828
1826.91434;284154
1831.94179;244818
1832.86066;2577934
1848.85685;693986
1871.96119;442686
1887.96045;410308
1888.91922;447344
1905.90622;358504
1914.94277;242187
1922.93378;2383227
1933.97346;988034
1945.98634;140082
1962.92741;320702
1975.99584;23404982
1986.04325;883209
1991.99008;235923
1998.02899;4758544
2011.03694;2340325
2014.95975;370575
2028.06535;18646836
2039.95535;1205697
2040.93962;568727
2044.05782;7557018
2050.04396;187932
2056.9793;8883502
2057.96442;4292809
2075.00131;271807
2131.11703;5649946
2146.94323;437230
2198.97406;671606
2207.14365;266363
2225.04413;222028
2256.0511;1135574
2272.04897;422108
2329.11631;380869
2330.0431;192400
2335.20357;288163
2348.08784;485437
2364.08358;743350
2379.21979;165304
2390.18238;702854
2410.13555;895537
2419.15079;530161
2476.17181;462721
2476.24027;386795
2481.20991;485944
2485.23046;1508421
2497.2075;1461749
2501.22201;584315
2513.20549;1559552
2550.21593;2131521
2566.20767;1660479
2582.22212;2386815
2593.16928;171110
2651.25045;955942
2675.24677;660874
2689.25994;1356958
2695.28291;377020
2703.24217;5127664
2705.25334;31846242
2719.23444;2719060
2727.2401;780562
2743.28734;1347456
2750.29337;1552332
2751.39814;825819
2759.28677;4249387
2767.32087;13984420
2775.28319;2288524
2785.35713;844598
2792.3287;5007648
2794.31172;965584
2794.40076;1369104
2814.32993;591585
2839.39928;275087
2883.42479;10831372
2889.35442;293706
2899.4232;1935121
2905.41214;414583
2946.33512;308946
2959.36246;424599
3009.40243;1096507
3017.36336;5631697
3018.34126;3785075
3025.37961;338046
3033.4875;10686956
3052.40322;2212982
3084.41469;3991638
3100.41309;18696178
3116.41063;6187710
3123.40238;406453
3183.47719;1615121
3227.51981;1090028
3382.70848;787165
3414.60163;560913
3534.69437;1517718
3575.66045;490028
3651.55904;1366092
3722.58927;1488992
3856.76484;290358
4036.89668;2351957
4053.9252;510491
4069.91725;1456227
4085.91002;1426101
4096.94473;1952708
4112.94178;3065343
4152.09205;991935
4202.07045;630463
4315.13183;252500
4348.11223;1322444
4364.10051;4873880
4533.16584;672068
